Materia,Dia,Horario_inicio,Horario_fim,Curso
Circuítos Digitais,Segunda-feira,16:30,18:30,Ciência da Computação
Circuítos Digitais,Quinta-feira,16:30,17:30,Ciência da Computação
Circuítos Digitais,Quinta-feira,17:30,18:30,Ciência da Computação
Laboratório de Programação I,Terça-feira,14:30,16:30,Ciência da Computação
Laboratório de Programação I,Quinta-feira,14:30,16:30,Ciência da Computação
Lógica e Algorítmo,Segunda-feira,14:30,16:30,Ciência da Computação
Lógica e Algorítmo,Quarta-feira,14:30,15:30,Ciência da Computação
Lógica e Algorítmo,Quarta-feira,15:30,16:30,Ciência da Computação
Prática em Sistemas Operacionais,Terça-feira,08:30,10:30,Ciência da Computação
Prática em Sistemas Operacionais,Quinta-feira,08:30,10:30,Ciência da Computação
Álgebra Linear,Terça-feira,08:30,10:30,Ciência da Computação
Álgebra Linear,Quinta-feira,08:30,10:30,Ciência da Computação
"Estruturas de Dados ""A""",Terça-feira,10:30,12:30,Ciência da Computação
"Estruturas de Dados ""A""",Quinta-feira,10:30,11:30,Ciência da Computação
"Estruturas de Dados ""A""",Quinta-feira,11:30,12:30,Ciência da Computação
Laboratório de Programação II,Segunda-feira,14:30,16:30,Ciência da Computação
Laboratório de Programação II,Quarta-feira,14:30,16:30,Ciência da Computação
Língua Inglesa Instrumental I,Segunda-feira,16:30,18:30,Ciência da Computação
Língua Inglesa Instrumental I,Quarta-feira,16:30,18:30,Ciência da Computação
"Matemática Discreta ""A""",Segunda-feira,10:30,12:30,Ciência da Computação
"Matemática Discreta ""A""",Quarta-feira,10:30,12:30,Ciência da Computação
Organização de Computadores,Segunda-feira,08:30,10:30,Ciência da Computação
Organização de Computadores,Quarta-feira,08:30,09:30,Ciência da Computação
Organização de Computadores,Quarta-feira,09:30,10:30,Ciência da Computação
"Arquiteturas de Computadores ""A""",Terça-feira,16:30,18:30,Ciência da Computação
"Arquiteturas de Computadores ""A""",Quinta-feira,16:30,18:30,Ciência da Computação
Estatística,Segunda-feira,16:30,18:30,Ciência da Computação
Estatística,Quarta-feira,16:30,18:30,Ciência da Computação
Paradigmas de Programação,Terça-feira,10:30,12:30,Ciência da Computação
Paradigmas de Programação,Quinta-feira,10:30,11:30,Ciência da Computação
Paradigmas de Programação,Quinta-feira,11:30,12:30,Ciência da Computação
"Pesquisa e Ordenação de Dados ""A""",Terça-feira,14:30,16:30,Ciência da Computação
"Pesquisa e Ordenação de Dados ""A""",Quinta-feira,14:30,16:30,Ciência da Computação
"Eletricidade e Magnetismo ""A""",Quarta-feira,14:30,16:30,Ciência da Computação
"Eletricidade e Magnetismo ""A""",Quinta-feira,14:30,16:30,Ciência da Computação
"Eletricidade e Magnetismo ""A""",Sexta-feira,14:30,16:30,Ciência da Computação
"Engenharia de Software ""A""",Terça-feira,08:30,10:30,Ciência da Computação
"Engenharia de Software ""A""",Sexta-feira,08:30,10:30,Ciência da Computação
Fundamentos de Banco de Dados,Segunda-feira,10:30,12:30,Ciência da Computação
Fundamentos de Banco de Dados,Quarta-feira,10:30,11:30,Ciência da Computação
Fundamentos de Banco de Dados,Quarta-feira,11:30,12:30,Ciência da Computação
Métodos Numéricos Computacionais,Segunda-feira,08:30,10:30,Ciência da Computação
Métodos Numéricos Computacionais,Quinta-feira,08:30,10:30,Ciência da Computação
